    SACZOM,      Fe1J, 3,       N2J, 2.029, 0.561
    SACZOM,      Fe1J, 3,        O2, 1.981, 0.558
    SACZOM,      Fe1J, 3,       O2J, 2.010, 0.516
    SACZOM,      Fe1J, 3,       O1B, 1.970, 0.575
    SACZOM,      Fe1J, 3,       N1J, 2.250, 0.309
    SACZOM,      Fe1J, 3,       O1J, 2.009, 0.517
    DIYPOS,      Fe4A, 3,       O7A, 1.997, 0.534
    DIYPOS,      Fe4A, 3,       O6A, 1.970, 0.575
    DIYPOS,      Fe4A, 3,       N7A, 2.167, 0.386
    DIYPOS,      Fe4A, 3,       N6A, 2.188, 0.365
    DIYPOS,      Fe4A, 3,        O6, 1.987, 0.549
    DIYPOS,      Fe4A, 3,       O9A, 2.003, 0.526
    MEWWOA,      Fe1D, 3,       O4D, 2.059, 0.452
    MEWWOA,      Fe1D, 3,       O1D, 2.080, 0.427
    MEWWOA,      Fe1D, 3,       N1D, 2.098, 0.465
    MEWWOA,      Fe1D, 3,       O2D, 1.874, 0.745
    MEWWOA,      Fe1D, 3,       O3D, 2.016, 0.507
    MEWWOA,      Fe1D, 3,        O1, 2.024, 0.497
    LALTOH,       Fe2, 3,        N4, 2.092, 0.473
    LALTOH,       Fe2, 3,        N3, 2.091, 0.474
    LALTOH,       Fe2, 3,        O4, 1.905, 0.685
    LALTOH,       Fe2, 3,        O3, 1.895, 0.704
    LALTOH,       Fe2, 3,       Cl2, 2.232, 0.681
    LALTOH,       Fe3, 3,        O6, 1.889, 0.715
    LALTOH,       Fe3, 3,        O5, 1.886, 0.721
    LALTOH,       Fe3, 3,        N5, 2.089, 0.477
    LALTOH,       Fe3, 3,        N6, 2.116, 0.443
    LALTOH,       Fe3, 3,       Cl3, 2.228, 0.689
    YEBSOO,      Fe1A, 3,       O4A, 2.015, 0.509
    YEBSOO,      Fe1A, 3,       O6A, 2.033, 0.485
    YEBSOO,      Fe1A, 3,       N1A, 2.203, 0.350
    YEBSOO,      Fe1A, 3,       O1A, 1.917, 0.663
    YEBSOO,      Fe1A, 3,      O12A, 1.978, 0.562
    YEBSOO,      Fe1A, 3,       O2A, 2.024, 0.497
    LALTOH,       Fe1, 3,        N1, 2.099, 0.464
    LALTOH,       Fe1, 3,        N2, 2.108, 0.453
