refcode,pick,cation_lbl,ox. state,BVS,anion_lbl,d,r0,bv
XEDFUI,0,Fe1,3,2.0790248561871865,N2B,2.106,1.7412550618619604,0.37314166590048581
XEDFUI,0,Fe1,3,2.0790248561871865,N2,2.106,1.7412550618619604,0.37314166590048581
XEDFUI,0,Fe1,3,2.0790248561871865,N2A,2.106,1.7412550618619604,0.37314166590048581
XEDFUI,0,Fe1,3,2.0790248561871865,N3A,2.163,1.7412550618619604,0.31986661949524314
XEDFUI,0,Fe1,3,2.0790248561871865,N3B,2.163,1.7412550618619604,0.31986661949524314
XEDFUI,0,Fe1,3,2.0790248561871865,N3,2.163,1.7412550618619604,0.31986661949524314
GICZIB,0,Fe1,3,2.1139520839792061,N4,1.956,1.7412550618619604,0.55967908349928253
GICZIB,0,Fe1,3,2.1139520839792061,N2,1.973,1.7412550618619604,0.53454590369451316
GICZIB,0,Fe1,3,2.1139520839792061,N3,1.988,1.7412550618619604,0.51330851994318771
GICZIB,0,Fe1,3,2.1139520839792061,N1,1.993,1.7412550618619604,0.50641857684222291
TUPXUX,0,Fe1,3,2.1170997715235331,N2,1.952,1.7412550618619604,0.5657624922271256
TUPXUX,0,Fe1,3,2.1170997715235331,N3,1.977,1.7412550618619604,0.52879815395739826
TUPXUX,0,Fe1,3,2.1170997715235331,N1,1.985,1.7412550618619604,0.51748739942524236
TUPXUX,0,Fe1,3,2.1170997715235331,N4,1.994,1.7412550618619604,0.50505172591376701
XEDFUI,0,Fe2,3,2.1218734186462367,N6B,2.11,1.7412550618619604,0.36912942878995353
XEDFUI,0,Fe2,3,2.1218734186462367,N6,2.111,1.7412550618619604,0.36813312864312986
XEDFUI,0,Fe2,3,2.1218734186462367,N6A,2.112,1.7412550618619604,0.36713951756389412
XEDFUI,0,Fe2,3,2.1218734186462367,N8,2.141,1.7412550618619604,0.33946252374218189
XEDFUI,0,Fe2,3,2.1218734186462367,N8B,2.141,1.7412550618619604,0.33946252374218189
XEDFUI,0,Fe2,3,2.1218734186462367,N8A,2.142,1.7412550618619604,0.33854629616489545
WARHEE,0,Fe1,3,2.1227546372227564,N1,1.932,1.7412550618619604,0.59718587846794391
WARHEE,0,Fe1,3,2.1227546372227564,N2,1.934,1.7412550618619604,0.5939665554042074
WARHEE,0,Fe1,3,2.1227546372227564,N4,2.017,1.7412550618619604,0.47461250370018698
WARHEE,0,Fe1,3,2.1227546372227564,N3,2.031,1.7412550618619604,0.45698969965041791
LEXYUI,0,Fe1,3,2.1348582320270446,N4,1.96,1.7412550618619604,0.55366108713485784
LEXYUI,0,Fe1,3,2.1348582320270446,N3,1.967,1.7412550618619604,0.54328488071333392
LEXYUI,0,Fe1,3,2.1348582320270446,N1,1.978,1.7412550618619604,0.52737089934875148
LEXYUI,0,Fe1,3,2.1348582320270446,N2,1.99,1.7412550618619604,0.51054136483010126
OBOLEY,0,Fe1,3,2.1456685960499131,N5,1.735,1.7412550618619604,1.017049280471485
OBOLEY,0,Fe1,3,2.1456685960499131,N6,1.947,1.7412550618619604,0.57345982316709865
OBOLEY,0,Fe1,3,2.1456685960499131,N4,1.959,1.7412550618619604,0.55515949241132923
YACJIW,0,Fe1,3,2.1651512699224043,N2C,1.962,1.7412550618619604,0.55067639849506722
YACJIW,0,Fe1,3,2.1651512699224043,N2,1.962,1.7412550618619604,0.55067639849506722
YACJIW,0,Fe1,3,2.1651512699224043,N1,1.964,1.7412550618619604,0.54770779978191841
YACJIW,0,Fe1,3,2.1651512699224043,N3,1.986,1.7412550618619604,0.51609067315035106
BODGAE02,0,Fe1,3,2.1672257714761498,N4,2.063,1.7412550618619604,0.41912716282015317
BODGAE02,0,Fe1,3,2.1672257714761498,N6,2.064,1.7412550618619604,0.41799591610480941
BODGAE02,0,Fe1,3,2.1672257714761498,N2,2.07,1.7412550618619604,0.41127226736272682
BODGAE02,0,Fe1,3,2.1672257714761498,N5,2.083,1.7412550618619604,0.39707306677370252
BODGAE02,0,Fe1,3,2.1672257714761498,N1,2.231,1.7412550618619604,0.26616603639926095
BODGAE02,0,Fe1,3,2.1672257714761498,N3,2.246,1.7412550618619604,0.25559132201549706
QOQLAJ,0,Fe1,3,2.1808939621245598,N4,1.956,1.7412550618619604,0.55967908349928253
QOQLAJ,0,Fe1,3,2.1808939621245598,N1,1.962,1.7412550618619604,0.55067639849506722
QOQLAJ,0,Fe1,3,2.1808939621245598,N2,1.972,1.7412550618619604,0.53599257643569698
QOQLAJ,0,Fe1,3,2.1808939621245598,N3,1.973,1.7412550618619604,0.53454590369451316
GUWYUS,0,Fe1,3,2.1949203622930709,N1,2.112,1.7412550618619604,0.36713951756389412
GUWYUS,0,Fe1,3,2.1949203622930709,N1W,2.113,1.7412550618619604,0.36614858829430813
GUWYUS,0,Fe1,3,2.1949203622930709,N1X,2.113,1.7412550618619604,0.36614858829430813
GUWYUS,0,Fe1,3,2.1949203622930709,N1A,2.113,1.7412550618619604,0.36614858829430813
GUWYUS,0,Fe1,3,2.1949203622930709,N1B,2.114,1.7412550618619604,0.36516033359602368
GUWYUS,0,Fe1,3,2.1949203622930709,N1V,2.115,1.7412550618619604,0.36417474625022861
CUHXAE,0,Fe1,3,2.1983865785627557,N1,1.96,1.7412550618619604,0.55366108713485784
CUHXAE,0,Fe1,3,2.1983865785627557,N4,1.96,1.7412550618619604,0.55366108713485784
CUHXAE,0,Fe1,3,2.1983865785627557,N2,1.961,1.7412550618619604,0.55216672613467654
CUHXAE,0,Fe1,3,2.1983865785627557,N3,1.97,1.7412550618619604,0.53889767815836342
GUDYUZ,0,Fe1,3,2.2182809467269156,N2,1.945,1.7412550618619604,0.57656799890199628
GUDYUZ,0,Fe1,3,2.2182809467269156,N3,1.961,1.7412550618619604,0.55216672613467654
GUDYUZ,0,Fe1,3,2.2182809467269156,N1,1.963,1.7412550618619604,0.54919009332977231
GUDYUZ,0,Fe1,3,2.2182809467269156,N4,1.969,1.7412550618619604,0.54035612836047053
SOQLAM,0,Fe1,3,2.2229104165162163,N5,1.968,1.7412550618619604,0.541818525651382
SOQLAM,0,Fe1,3,2.2229104165162163,N2,2.059,1.7412550618619604,0.42368284823979496
SOQLAM,0,Fe1,3,2.2229104165162163,N4,2.06,1.7412550618619604,0.42253930548490942
SOQLAM,0,Fe1,3,2.2229104165162163,N1,2.063,1.7412550618619604,0.41912716282015317
SOQLAM,0,Fe1,3,2.2229104165162163,N3,2.066,1.7412550618619604,0.41574257431997691
FAYWEI,0,Fe1,3,2.2250396576660645,N2,1.916,1.7412550618619604,0.62357663115834339
FAYWEI,0,Fe1,3,2.2250396576660645,N3,1.941,1.7412550618619604,0.5828349809996396
FAYWEI,0,Fe1,3,2.2250396576660645,N1,1.982,1.7412550618619604,0.52170029944864249
FAYWEI,0,Fe1,3,2.2250396576660645,N4,2.0,1.7412550618619604,0.49692774605943896
MUFZAP,0,Fe1,3,2.2253148948887675,N7,1.888,1.7412550618619604,0.67259767197558396
MUFZAP,0,Fe1,3,2.2253148948887675,N6,1.93,1.7412550618619604,0.60042265039457421
MUFZAP,0,Fe1,3,2.2253148948887675,N5,2.004,1.7412550618619604,0.49158448872262744
MUFZAP,0,Fe1,3,2.2253148948887675,N8,2.028,1.7412550618619604,0.46071008379598194
POFJAV,0,Fe1,3,2.2284707342588947,N5,1.953,1.7412550618619604,0.56423546888487708
POFJAV,0,Fe1,3,2.2284707342588947,N2,2.06,1.7412550618619604,0.42253930548490942
POFJAV,0,Fe1,3,2.2284707342588947,N4,2.062,1.7412550618619604,0.42026147109443052
POFJAV,0,Fe1,3,2.2284707342588947,N3,2.07,1.7412550618619604,0.41127226736272682
POFJAV,0,Fe1,3,2.2284707342588947,N1,2.071,1.7412550618619604,0.41016222143195075
WEFFUJ,0,Fe1,3,2.2295740543326108,N4,2.09,1.7412550618619604,0.38963148888244703
WEFFUJ,0,Fe1,3,2.2295740543326108,N6,2.093,1.7412550618619604,0.38648508756666267
WEFFUJ,0,Fe1,3,2.2295740543326108,N1,2.099,1.7412550618619604,0.38026830440507819
WEFFUJ,0,Fe1,3,2.2295740543326108,N2,2.107,1.7412550618619604,0.37213453651028422
WEFFUJ,0,Fe1,3,2.2295740543326108,N5,2.113,1.7412550618619604,0.36614858829430813
WEFFUJ,0,Fe1,3,2.2295740543326108,N3,2.146,1.7412550618619604,0.3349060486738305
XIFCUK,0,Fe1,3,2.2404554535378511,N9,2.07,1.7412550618619604,0.41127226736272682
XIFCUK,0,Fe1,3,2.2404554535378511,N5,2.075,1.7412550618619604,0.40575191768793917
XIFCUK,0,Fe1,3,2.2404554535378511,N8,2.087,1.7412550618619604,0.39280350526478436
XIFCUK,0,Fe1,3,2.2404554535378511,N2,2.13,1.7412550618619604,0.34970616874322086
XIFCUK,0,Fe1,3,2.2404554535378511,N6,2.132,1.7412550618619604,0.34782096486423042
XIFCUK,0,Fe1,3,2.2404554535378511,N3,2.148,1.7412550618619604,0.33310062961494941
ZAWJEM,0,Fe1,3,2.2428274613689476,N1,1.963,1.7412550618619604,0.54919009332977231
ZAWJEM,0,Fe1,3,2.2428274613689476,N3,2.055,1.7412550618619604,0.42828805149431798
ZAWJEM,0,Fe1,3,2.2428274613689476,N4,2.059,1.7412550618619604,0.42368284823979496
ZAWJEM,0,Fe1,3,2.2428274613689476,N2,2.06,1.7412550618619604,0.42253930548490942
ZAWJEM,0,Fe1,3,2.2428274613689476,N5,2.063,1.7412550618619604,0.41912716282015317
MUFZAP,0,Fe2,3,2.2694023230043685,N11,1.903,1.7412550618619604,0.6458755237535726
MUFZAP,0,Fe2,3,2.2694023230043685,N10,1.911,1.7412550618619604,0.63206053697112463
MUFZAP,0,Fe2,3,2.2694023230043685,N9,1.992,1.7412550618619604,0.507789126959029
MUFZAP,0,Fe2,3,2.2694023230043685,N12,2.01,1.7412550618619604,0.48367713532064238
TAZSAO,0,Fe1,3,2.2694377952836571,N3A,2.08,1.7412550618619604,0.40030566554646574
TAZSAO,0,Fe1,3,2.2694377952836571,N3,2.08,1.7412550618619604,0.40030566554646574
TAZSAO,0,Fe1,3,2.2694377952836571,N1A,2.092,1.7412550618619604,0.38753105468977089
TAZSAO,0,Fe1,3,2.2694377952836571,N1,2.092,1.7412550618619604,0.38753105468977089
TAZSAO,0,Fe1,3,2.2694377952836571,N2A,2.133,1.7412550618619604,0.3468821774055918
TAZSAO,0,Fe1,3,2.2694377952836571,N2,2.133,1.7412550618619604,0.3468821774055918
YOXHEZ,0,Fe1,3,2.2705289030422646,N6,2.037,1.7412550618619604,0.44963881869485178
YOXHEZ,0,Fe1,3,2.2705289030422646,N2,2.042,1.7412550618619604,0.44360348953815804
YOXHEZ,0,Fe1,3,2.2705289030422646,N4,2.054,1.7412550618619604,0.42944715241565962
YOXHEZ,0,Fe1,3,2.2705289030422646,N3,2.147,1.7412550618619604,0.33400211926739032
YOXHEZ,0,Fe1,3,2.2705289030422646,N1,2.166,1.7412550618619604,0.31728359224726083
YOXHEZ,0,Fe1,3,2.2705289030422646,N5,2.191,1.7412550618619604,0.29655373087894382
NEQRAC,0,Fe1A,3,2.2719993578429132,N10A,1.973,1.7412550618619604,0.53454590369451316
