refcode,pick,cation_lbl,ox. state,BVS,anion_lbl,d,r0,bv
MODXOS,0,Fe1,3,2.603256709362074,N2B,2.008,1.6995510579867983,0.43446243694879533
MODXOS,0,Fe1,3,2.603256709362074,N2A,2.008,1.6995510579867983,0.43446243694879533
MODXOS,0,Fe1,3,2.603256709362074,N1B,2.008,1.6995510579867983,0.43446243694879533
MODXOS,0,Fe1,3,2.603256709362074,N1A,2.009,1.6995510579867983,0.43328979950522928
MODXOS,0,Fe1,3,2.603256709362074,N1,2.009,1.6995510579867983,0.43328979950522928
MODXOS,0,Fe1,3,2.603256709362074,N2,2.009,1.6995510579867983,0.43328979950522928
XORVEF,0,Fe1,3,2.613376132383789,N3,1.99,1.6995510579867983,0.45612100602702538
XORVEF,0,Fe1,3,2.613376132383789,N1,1.995,1.6995510579867983,0.44999866895958518
XORVEF,0,Fe1,3,2.613376132383789,N4,2.002,1.6995510579867983,0.44156520815290567
XORVEF,0,Fe1,3,2.613376132383789,N2,2.005,1.6995510579867983,0.43799942512052853
XORVEF,0,Fe1,3,2.613376132383789,N6,2.023,1.6995510579867983,0.41720134592696462
XORVEF,0,Fe1,3,2.613376132383789,N5,2.029,1.6995510579867983,0.41049047819677931
RIXTEX,0,Fe1,3,2.621267690971675,N3A,1.998,1.6995510579867983,0.4463647829813841
RIXTEX,0,Fe1,3,2.621267690971675,N3,1.998,1.6995510579867983,0.4463647829813841
RIXTEX,0,Fe1,3,2.621267690971675,N2A,2.007,1.6995510579867983,0.43563824796943534
RIXTEX,0,Fe1,3,2.621267690971675,N2,2.007,1.6995510579867983,0.43563824796943534
RIXTEX,0,Fe1,3,2.621267690971675,N1A,2.013,1.6995510579867983,0.42863081453501795
RIXTEX,0,Fe1,3,2.621267690971675,N1,2.013,1.6995510579867983,0.42863081453501795
XORVEF,0,Fe2,3,2.6228382733293172,N7,1.987,1.6995510579867983,0.45983431807887171
XORVEF,0,Fe2,3,2.6228382733293172,N9,1.995,1.6995510579867983,0.44999866895958518
XORVEF,0,Fe2,3,2.6228382733293172,N10,2.003,1.6995510579867983,0.4403733999485121
XORVEF,0,Fe2,3,2.6228382733293172,N8,2.004,1.6995510579867983,0.43918480849845076
XORVEF,0,Fe2,3,2.6228382733293172,N12,2.016,1.6995510579867983,0.4251694809484875
XORVEF,0,Fe2,3,2.6228382733293172,N11,2.031,1.6995510579867983,0.40827759689541043
